train_code,station_sequence,station_name,arrive_time,depart_time,stay_time,runtime,days,mileage,hard_price,soft_price,business_price,hard_sleep_price,soft_sleep_price,first_second_price
5533/5536,1,金城江,始发站,11:00,,0分,1,0,-,-,0,0/0/0,0/0,0/0
5533/5536,2,宜州,11:49,11:54,5分钟,49分,1,70,10.5,-,0,56.5/61.5/64.5,85.5/91.5,0/0
5533/5536,3,柳州,13:15,13:23,8分钟,2小时15分,1,161,21.5,-,0,67.5/72.5/75.5,105.5/111.5,0/0
5533/5536,4,来宾,14:13,14:18,5分钟,3小时13分,1,231,32.5,-,0,78.5/83.5/86.5,120.5/126.5,0/0
5533/5536,5,贵港,15:44,15:49,5分钟,4小时44分,1,350,45.5,-,0,91.5/96.5/99.5,143.5/149.5,0/0
5533/5536,6,兴业,16:30,16:34,4分钟,5小时30分,1,406,54.5,-,0,102.5/106.5/109.5,158.5/166.5,0/0
5533/5536,7,玉林,17:10,17:20,10分钟,6小时10分,1,439,56.5,-,0,107.5/111.5/114.5,167.5/174.5,0/0
5533/5536,8,陆川,17:48,17:53,5分钟,6小时48分,1,475,61,-,0,115/118/122,178/186,0/0
5533/5536,9,文地,18:24,18:29,5分钟,7小时24分,1,518,63,-,0,120/123/127,188/195,0/0
5533/5536,10,河唇,19:01,19:07,6分钟,8小时1分,1,553,69,-,0,130/135/139,205/214,0/0
5533/5536,11,廉江,19:17,19:21,4分钟,8小时17分,1,562,69,-,0,130/135/139,204/214,0/0
5533/5536,12,湛江,20:06,终点站,,9小时6分,1,614,75,-,0,141/145/150,222/233,0/0
