train_code,station_sequence,station_name,arrive_time,depart_time,stay_time,runtime,days,mileage,hard_price,soft_price,business_price,hard_sleep_price,soft_sleep_price,first_second_price
C7542,1,小金口,始发站,15:45,,0分,1,0,0,0,0,0/0/0,0/0,0/0
C7542,2,云山,15:50,15:52,2分钟,5分,1,5,0,0,0,0/0/0,0/0,5/0
C7542,3,西湖东,15:55,15:57,2分钟,10分,1,8,0,0,0,0/0/0,0/0,5/0
C7542,4,龙丰,16:00,16:01,1分钟,15分,1,11,0,0,0,0/0/0,0/0,5/0
C7542,5,惠环,16:05,16:07,2分钟,20分,1,16,0,0,0,0/0/0,0/0,10/0
C7542,6,仲恺,16:11,16:12,1分钟,26分,1,21,0,0,0,0/0/0,0/0,10/0
C7542,7,沥林北,16:19,16:21,2分钟,34分,1,33,0,0,0,0/0/0,0/0,20/0
C7542,8,银瓶,16:26,16:27,1分钟,41分,1,41,0,0,0,0/0/0,0/0,25/0
C7542,9,樟木头东,16:31,16:32,1分钟,46分,1,46,0,0,0,0/0/0,0/0,30/0
C7542,10,常平东,16:37,16:39,2分钟,52分,1,53,0,0,0,0/0/0,0/0,35/0
C7542,11,常平南,16:43,16:44,1分钟,58分,1,57,0,0,0,0/0/0,0/0,35/0
C7542,12,大朗镇,16:48,16:50,2分钟,1小时3分,1,63,0,0,0,0/0/0,0/0,40/0
C7542,13,松山湖北,16:54,16:55,1分钟,1小时9分,1,69,0,0,0,0/0/0,0/0,40/0
C7542,14,寮步,17:00,17:01,1分钟,1小时15分,1,75,0,0,0,0/0/0,0/0,45/0
C7542,15,东城南,17:07,17:08,1分钟,1小时22分,1,84,0,0,0,0/0/0,0/0,50/0
C7542,16,西平西,17:11,17:13,2分钟,1小时26分,1,87,0,0,0,0/0/0,0/0,60/0
C7542,17,道滘,17:19,17:21,2分钟,1小时34分,1,97,0,0,0,0/0/0,0/0,60/0
C7542,18,东莞西,17:25,终点站,,1小时40分,1,101,0,0,0,0/0/0,0/0,60/0
