train_code,station_sequence,station_name,arrive_time,depart_time,stay_time,runtime,days,mileage,hard_price,soft_price,business_price,hard_sleep_price,soft_sleep_price,first_second_price
G1810/G1811,1,上海虹桥,始发站,12:33,,0分,1,0,0,0,0,0/0/0,0/0,0/0
G1810/G1811,2,昆山南,12:50,12:52,2分钟,17分,1,50,0,0,0,0/0/0,0/0,24.5/34.5
G1810/G1811,3,苏州北,13:03,13:05,2分钟,30分,1,81,0,0,0,0/0/0,0/0,34.5/64.5
G1810/G1811,4,常州北,13:27,13:29,2分钟,54分,1,165,0,0,0,0/0/0,0/0,74.5/129.5
G1810/G1811,5,镇江南,13:47,13:49,2分钟,1小时14分,1,230,0,0,0,0/0/0,0/0,104.5/179.5
G1810/G1811,6,南京南,14:08,14:11,3分钟,1小时35分,1,295,0,0,0,0/0/0,0/0,134.5/229.5
G1810/G1811,7,蚌埠南,14:53,14:55,2分钟,2小时20分,1,416,0,0,0,0/0/0,0/0,214/364
G1810/G1811,8,宿州东,15:18,15:34,16分钟,2小时45分,1,558,0,0,0,0/0/0,0/0,254/429
G1810/G1811,9,徐州东,15:54,15:59,5分钟,3小时21分,1,626,0,0,0,0/0/0,0/0,279/474
G1810/G1811,10,永城北,16:25,16:27,2分钟,3小时52分,1,707,0,0,0,0/0/0,0/0,326/521
G1810/G1811,11,商丘,16:51,16:53,2分钟,4小时18分,1,796,0,0,0,0/0/0,0/0,359.5/599.5
G1810/G1811,12,郑州东,17:43,17:55,12分钟,5小时10分,1,986,0,0,0,0/0/0,0/0,447/739
G1810/G1811,13,郑州,18:08,18:11,3分钟,5小时35分,1,1000,0,0,0,0/0/0,0/0,453/749.5
G1810/G1811,14,焦作,18:46,终点站,,6小时13分,1,1078,0,0,0,0/0/0,0/0,481/794.5
