train_code,station_sequence,station_name,arrive_time,depart_time,stay_time,runtime,days,mileage,hard_price,soft_price,business_price,hard_sleep_price,soft_sleep_price,first_second_price
K865/K868,1,唐山,始发站,19:44,,0分,1,0,-,-,0,0/0/0,0/0,0/0
K865/K868,2,天津,21:15,21:25,10分钟,1小时31分,1,123,19.5,-,0,65.5/73/76,99.5/106,0/0
K865/K868,3,静海,22:10,22:14,4分钟,2小时26分,1,176,28.5,-,0,74.5/79.5/82.5,112.5/118.5,0/0
K865/K868,4,沧州,22:56,23:02,6分钟,3小时12分,1,249,40.5,-,0,86.5/91.5/94.5,129.5/135.5,0/0
K865/K868,5,德州,01:20,01:49,29分钟,5小时36分,2,362,53.5,-,0,99.5/104.5/107.5,152.5/158.5,0/0
K865/K868,6,晋州,03:50,03:53,3分钟,8小时6分,2,492,72,-,0,129/132/136,197/204,0/0
K865/K868,7,石家庄北,04:42,04:54,12分钟,8小时58分,2,556,78,-,0,139/144/148,214/223,0/0
K865/K868,8,阳泉北,05:57,06:03,6分钟,10小时13分,2,660,91,-,0,158/164/169,243/253,0/0
K865/K868,9,太原,07:22,07:39,17分钟,11小时38分,2,781,105,-,0,184/190/196,285/297,0/0
K865/K868,10,榆次,08:05,08:10,5分钟,12小时21分,2,808,105,-,0,184/190/196,285/297,0/0
K865/K868,11,祁县,08:50,08:53,3分钟,13小时6分,2,867,115,-,0,200/206/214,312/325,0/0
K865/K868,12,平遥,09:08,09:12,4分钟,13小时24分,2,889,115,-,0,200/206/214,312/325,0/0
K865/K868,13,介休,09:37,09:41,4分钟,13小时53分,2,920,119,-,0,207/215/221,324/337,0/0
K865/K868,14,灵石,10:06,10:09,3分钟,14小时22分,2,947,124,-,0,215/223/230,336/351,0/0
K865/K868,15,霍州,10:45,10:48,3分钟,15小时1分,2,990,128.5,-,0,222.5/230.5/237.5,348.5/363.5,0/0
K865/K868,16,洪洞,11:25,11:28,3分钟,15小时41分,2,1032,135.5,-,0,232.5/240.5/247.5,360.5/377.5,0/0
K865/K868,17,临汾,11:51,终点站,,16小时7分,2,1055,135.5,-,0,232.5/240.5/247.5,360.5/377.5,0/0
