train_code,station_sequence,station_name,arrive_time,depart_time,stay_time,runtime,days,mileage,hard_price,soft_price,business_price,hard_sleep_price,soft_sleep_price,first_second_price
T305/T308,1,乌鲁木齐,始发站,17:57,,0分,1,0,-,-,0,0/0/0,0/0,0/0
T305/T308,2,吐鲁番北,19:24,19:26,2分钟,1小时27分,1,167,24.5,-,0,70.5/75.5/78.5,108.5/114.5,0/0
T305/T308,3,哈密,22:38,22:44,6分钟,4小时41分,1,553,78,-,0,139/144/148,214/223,0/0
T305/T308,4,柳园,01:32,01:38,6分钟,7小时35分,2,825,115,-,0,200/206/214,312/325,0/0
T305/T308,5,嘉峪关,04:25,04:33,8分钟,10小时28分,2,1122,148.5,-,0,254.5/263.5/272.5,398.5/415.5,0/0
T305/T308,6,酒泉,04:52,04:56,4分钟,10小时55分,2,1144,148.5,-,0,254.5/263.5/272.5,398.5/415.5,0/0
T305/T308,7,张掖,06:59,07:05,6分钟,13小时2分,2,1345,168.5,-,0,288.5/298.5/307.5,450.5/470.5,0/0
T305/T308,8,武威,09:24,09:30,6分钟,15小时27分,2,1589,192,-,0,328/339/351,515/537,0/0
T305/T308,9,兰州,12:34,12:50,16分钟,18小时37分,2,1892,217,-,0,370/383/397,585/611,0/0
T305/T308,10,定西,14:06,14:09,3分钟,20小时9分,2,2010,224,-,0,381/393/407,598/625,0/0
T305/T308,11,天水,16:54,17:00,6分钟,22小时57分,2,2240,251,-,0,426/441/456,673/703,0/0
T305/T308,12,宝鸡,19:36,19:54,18分钟,25小时39分,2,2395,263.5,-,0,446.5/462.5/477.5,704.5/735.5,0/0
T305/T308,13,咸阳,21:14,21:17,3分钟,27小时17分,2,2545,268.5,-,0,455.5/472.5/487.5,718.5/751.5,0/0
T305/T308,14,西安,21:40,21:50,10分钟,27小时43分,2,2568,278.5,-,0,471.5/488.5/506.5,747.5/780.5,0/0
T305/T308,15,渭南西,22:32,22:36,4分钟,28小时35分,2,2654,-,-,0,0/0/0,0/0,0/0
T305/T308,16,南阳,03:24,03:56,32分钟,33小时27分,3,3072,-,-,0,0/0/0,0/0,0/0
T305/T308,17,信阳,06:32,06:38,6分钟,36小时35分,3,3381,317,-,0,536/555/575,849/887,0/0
T305/T308,18,庐山,12:33,12:36,3分钟,42小时36分,3,3768,352,-,0,595/616/637,940/982,0/0
T305/T308,19,南昌西,13:38,13:56,18分钟,43小时41分,3,3891,360,-,0,606/628/649,961/1003,0/0
T305/T308,20,三明北,17:46,17:52,6分钟,47小时49分,3,4243,385.5,-,0,649.5/671.5/695.5,1029.5/1075.5,0/0
T305/T308,21,福州,19:47,终点站,,49小时50分,3,4427,402.5,-,0,679.5/703.5/727.5,1079.5/1127.5,0/0
