train_code,station_sequence,station_name,arrive_time,depart_time,stay_time,runtime,days,mileage,hard_price,soft_price,business_price,hard_sleep_price,soft_sleep_price,first_second_price
Y512/Y513,1,邯郸,始发站,06:55,,0分,1,0,-,-,0,0/0/0,0/0,0/0
Y512/Y513,2,沙河市,07:14,07:16,2分钟,19分,1,28,9,-,0,55/60/63,80/86,0/0
Y512/Y513,3,邢台,07:32,07:36,4分钟,37分,1,52,11,-,0,57/62/65,86.5/92.5,0/0
Y512/Y513,4,高邑,08:12,08:14,2分钟,1小时17分,1,114,-,-,0,0/0/0,0/0,0/0
Y512/Y513,5,石家庄,08:52,08:58,6分钟,1小时57分,1,161,24.5,-,0,70.5/75.5/78.5,108.5/114.5,0/0
Y512/Y513,6,保定,10:18,10:22,4分钟,3小时23分,1,296,43.5,-,0,89.5/94.5/97.5,135.5/141.5,0/0
Y512/Y513,7,北京东,12:23,13:00,37分钟,5小时28分,1,453,64.5,-,0,115.5/119.5/122.5,175.5/182.5,0/0
Y512/Y513,8,通州西,13:21,13:23,2分钟,6小时26分,1,466,69,-,0,123/126/130,186/194,0/0
Y512/Y513,9,怀柔,14:07,14:12,5分钟,7小时12分,1,516,72,-,0,129/132/136,197/204,0/0
Y512/Y513,10,密云北,14:34,14:38,4分钟,7小时39分,1,538,75,-,0,133/138/142,205/214,0/0
Y512/Y513,11,兴隆县,16:15,16:18,3分钟,9小时20分,1,603,81,-,0,144/148/154,222/231,0/0
Y512/Y513,12,鹰手营子,16:42,16:45,3分钟,9小时47分,1,624,86,-,0,152/156/161,233/244,0/0
Y512/Y513,13,下台子,17:00,17:06,6分钟,10小时5分,1,634,86,-,0,152/156/161,233/244,0/0
Y512/Y513,14,承德,18:34,终点站,,11小时39分,1,704,98,-,0,171/176/182,263/275,0/0
