train_code,station_sequence,station_name,arrive_time,depart_time,stay_time,runtime,days,mileage,hard_price,soft_price,business_price,hard_sleep_price,soft_sleep_price,first_second_price
Z106,1,乌鲁木齐,始发站,17:39,,0分,1,0,-,-,0,0/0/0,0/0,0/0
Z106,2,吐鲁番北,18:59,19:01,2分钟,1小时20分,1,143,24.5,-,0,70.5/75.5/78.5,108.5/114.5,0/0
Z106,3,鄯善北,19:45,19:47,2分钟,2小时6分,1,283,40.5,-,0,86.5/91.5/94.5,129.5/135.5,0/0
Z106,4,哈密,21:44,21:50,6分钟,4小时5分,1,553,75,-,0,133/138/142,205/214,0/0
Z106,5,嘉峪关,03:10,03:18,8分钟,9小时31分,2,1122,148.5,-,0,254.5/263.5/272.5,398.5/415.5,0/0
Z106,6,张掖,05:12,05:18,6分钟,11小时33分,2,1345,168.5,-,0,288.5/298.5/307.5,450.5/470.5,0/0
Z106,7,武威,07:31,07:40,9分钟,13小时52分,2,1589,192,-,0,328/339/351,515/537,0/0
Z106,8,兰州,10:39,11:02,23分钟,17小时0分,2,1817,213,-,0,363/375/388,572/598,0/0
Z106,9,天水,14:59,15:05,6分钟,21小时20分,2,2165,243,-,0,414/429/444,654/684,0/0
Z106,10,宝鸡,17:41,17:51,10分钟,24小时2分,2,2320,254.5,-,0,434.5/449.5/464.5,687.5/717.5,0/0
Z106,11,西安,19:21,19:33,12分钟,25小时42分,2,2493,268.5,-,0,455.5/472.5/487.5,718.5/751.5,0/0
Z106,12,郑州,01:29,01:37,8分钟,31小时50分,3,3004,302.5,-,0,513.5/531.5/549.5,814.5/851.5,0/0
Z106,13,徐州,04:26,04:47,21分钟,34小时47分,3,3398,335,-,0,566/585/606,896/937,0/0
Z106,14,枣庄西,05:31,05:36,5分钟,35小时52分,3,3475,341,-,0,576/596/617,911/952,0/0
Z106,15,兖州,06:23,06:26,3分钟,36小时44分,3,3570,348,-,0,586/607/628,927/969,0/0
Z106,16,泰山,07:17,07:21,4分钟,37小时38分,3,3653,352,-,0,595/616/637,940/982,0/0
Z106,17,济南,08:16,终点站,,38小时37分,3,3726,360,-,0,606/628/649,961/1003,0/0
