 station_train_code,departure_destination_station,train_number
D1,北京-沈阳南,4000000D121
D2,沈阳南-北京,2000000D20K
D3,北京-沈阳南,4000000D325
D4,沈阳南-北京,2000000D400
D6,沈阳北-北京,2000000D60J
D7,北京-沈阳北,4000000D711
D9,北京-沈阳南,4000000D900
D10,沈阳南-北京,200000D100I
D11,北京-沈阳南,400000D1120
D12,沈阳南-北京,200000D1220
D13,北京-沈阳北,400000D1336
D14,沈阳北-北京,200000D140C
D17,北京-沈阳南,400000D170I
D18,沈阳南-北京,200000D180B
D19,北京-长春,400000D190S
D20,长春-北京,100000D200B
D21,北京-珲春,400000D211A
D22,珲春-北京,c00000D2206
D23,北京-长春西,400000D2322
D24,长春西-北京,g00000D2405
D25,北京-佳木斯,400000D2531
D26,佳木斯-北京,200000D2601
D27,北京-哈尔滨西,400000D2713
D28,哈尔滨西-北京,h00000D280L
D29,北京-齐齐哈尔南,400000D291A
D30,齐齐哈尔南-北京,400000D3009
D31,大连北-北京,g00000D3100
D32,北京-大连北,400000D3320
D33,北京-大连北,400000D3320
D34,大连北-北京,g00000D3100
D35,大连北-北京,g00000D350A
D36,北京-大连北,400000D370K
D37,北京-大连北,400000D370K
D38,大连北-北京,g00000D350A
D39,大连北-北京,g00000D3909
D40,北京-大连北,400000D410O
D41,北京-大连北,400000D410O
D42,大连北-北京,g00000D3909
D43,大连北-北京,g00000D430E
D44,北京-大连北,400000D450I
D45,北京-大连北,400000D450I
D46,大连北-北京,g00000D430E
D48,北京-通辽,400000D4903
D49,北京-通辽,400000D4903
D50,通辽-北京,600000D5001
D51,北京-沈阳北,400000D5121
D52,沈阳北-北京,200000D520C
D55,兰州-乌鲁木齐,500000D5501
D56,乌鲁木齐-兰州,300000D5605
D73,北京-吉林,400000D730O
D74,吉林-北京,800000D740E
D101,北京-哈尔滨西,40000D10118
D102,哈尔滨西-北京,h0000D1020K
D111,珲春-齐齐哈尔南,c0000D1140C
D112,齐齐哈尔南-珲春,40000D1120G
D113,齐齐哈尔南-珲春,40000D1120G
D114,珲春-齐齐哈尔南,c0000D1140C
D115,延吉西-哈尔滨西,c0000D11803
D116,哈尔滨西-延吉西,h0000D11605
D117,哈尔滨西-延吉西,h0000D11605
D118,延吉西-哈尔滨西,c0000D11803
D119,长春西-牡丹江,g0000D11902
D120,牡丹江-长春,30000D12002
D121,长春-佳木斯,10000D12102
D122,佳木斯-长春西,20000D12200
D123,吉林-哈尔滨西,80000D12601
D124,哈尔滨西-吉林,h0000D12400
D125,哈尔滨西-吉林,h0000D12400
D126,吉林-哈尔滨西,80000D12601
D127,吉林-齐齐哈尔南,80000D13002
D128,齐齐哈尔南-吉林,40000D12801
D129,齐齐哈尔南-吉林,40000D12801
D130,吉林-齐齐哈尔南,80000D13002
D131,吉林-佳木斯,80000D13410
D132,哈尔滨西-吉林,h0000D13200
D133,哈尔滨西-吉林,h0000D13200
D134,吉林-佳木斯,80000D13410
D135,吉林-牡丹江,80000D13802
D136,牡丹江-吉林,30000D13601
D137,牡丹江-吉林,30000D13601
D138,吉林-牡丹江,80000D13802
D201,南宁东-广州南,10000D20102
D202,广州南-南宁东,c0000D20206
