train_code,station_sequence,station_name,arrive_time,depart_time,stay_time,runtime,days,mileage,hard_price,soft_price,business_price,hard_sleep_price,soft_sleep_price,first_second_price
7507,1,武威南,始发站,10:20,,-1分,1,0,-,-,0,0/0/0,0/0,0/0
7507,2,武威,10:34,10:37,3分钟,-1分,1,13,1,-,0,0/0/0,0/0,0/0
7507,3,金昌,12:14,12:17,3分钟,-1分,1,87,5,-,0,0/0/0,0/0,0/0
7507,4,玉石,12:58,13:08,10分钟,-1分,1,115,7.5,-,0,0/0/0,0/0,0/0
7507,5,芨岭,13:33,13:35,2分钟,-1分,1,133,8.5,-,0,0/0/0,0/0,0/0
7507,6,山丹,15:18,15:26,8分钟,-1分,1,204,14.5,-,0,0/0/0,0/0,0/0
7507,7,张掖,16:14,16:18,4分钟,-1分,1,257,16.5,-,0,0/0/0,0/0,0/0
7507,8,平原堡,16:34,16:36,2分钟,-1分,1,276,17.5,-,0,0/0/0,0/0,0/0
7507,9,临泽,16:52,16:54,2分钟,-1分,1,294,18.5,-,0,0/0/0,0/0,0/0
7507,10,高台,17:25,17:38,13分钟,-1分,1,329,20.5,-,0,0/0/0,0/0,0/0
7507,11,许三湾,18:10,18:12,2分钟,-1分,1,362,22.5,-,0,0/0/0,0/0,0/0
7507,12,清水,18:55,18:59,4分钟,-1分,1,394,23.5,-,0,0/0/0,0/0,0/0
7507,13,酒泉,20:21,20:45,24分钟,-1分,1,458,26.5,-,0,0/0/0,0/0,0/0
7507,14,嘉峪关,21:08,终点站,,-1分,1,480,28,-,0,0/0/0,0/0,0/0
