train_code,station_sequence,station_name,arrive_time,depart_time,stay_time,runtime,days,mileage,hard_price,soft_price,business_price,hard_sleep_price,soft_sleep_price,first_second_price
C7482/C7481,1,三亚,始发站,07:26,,0分,1,0,0,0,0,0/0/0,0/0,0/0
C7482/C7481,2,东方,08:17,08:19,2分钟,51分,1,502,0,0,0,0/0/0,0/0,51/70
C7482/C7481,3,棋子湾,08:33,08:35,2分钟,1小时7分,1,471,0,0,0,0/0/0,0/0,62/84
C7482/C7481,4,白马井,08:57,08:59,2分钟,1小时31分,1,412,0,0,0,0/0/0,0/0,83/112
C7482/C7481,5,银滩,09:12,09:13,1分钟,1小时46分,1,383,0,0,0,0/0/0,0/0,93/127
C7482/C7481,6,临高南,09:27,09:29,2分钟,2小时1分,1,353,0,0,0,0/0/0,0/0,103/140
C7482/C7481,7,老城镇,09:45,09:47,2分钟,2小时19分,1,315,0,0,0,0/0/0,0/0,117/159
C7482/C7481,8,海口东,10:14,10:19,5分钟,2小时48分,1,284,0,0,0,0/0/0,0/0,128/173
C7482/C7481,9,美兰,10:28,10:31,3分钟,3小时2分,1,270,0,0,0,0/0/0,0/0,133/180
C7482/C7481,10,文昌,10:48,10:49,1分钟,3小时22分,1,219,0,0,0,0/0/0,0/0,151/205
C7482/C7481,11,琼海,11:06,11:07,1分钟,3小时40分,1,169,0,0,0,0/0/0,0/0,168/229
C7482/C7481,12,万宁,11:25,11:27,2分钟,3小时59分,1,115,0,0,0,0/0/0,0/0,187/254
C7482/C7481,13,神州,11:34,11:35,1分钟,4小时8分,1,103,0,0,0,0/0/0,0/0,191/260
C7482/C7481,14,陵水,11:48,11:49,1分钟,4小时22分,1,66,0,0,0,0/0/0,0/0,204/278
C7482/C7481,15,亚龙湾,12:07,12:08,1分钟,4小时41分,1,12,0,0,0,0/0/0,0/0,223/303
C7482/C7481,16,三亚,12:18,终点站,,4小时52分,1,647,0,0,0,0/0/0,0/0,0/0
