train_code,station_sequence,station_name,arrive_time,depart_time,stay_time,runtime,days,mileage,hard_price,soft_price,business_price,hard_sleep_price,soft_sleep_price,first_second_price
D2377/D2376,1,厦门,始发站,08:12,,0分,1,0,0,0,0,0/0/0,0/0,0/0
D2377/D2376,2,晋江,08:50,08:52,2分钟,38分,1,77,0,0,0,0/0/0,0/0,25/37
D2377/D2376,3,泉州,09:04,09:06,2分钟,52分,1,102,0,0,0,0/0/0,0/0,34/54
D2377/D2376,4,莆田,09:31,09:35,4分钟,1小时19分,1,171,0,0,0,0/0/0,0/0,58/89
D2377/D2376,5,尤溪,10:28,10:30,2分钟,2小时16分,1,325,0,0,0,0/0/0,0/0,103/164
D2377/D2376,6,三明北,10:48,10:52,4分钟,2小时36分,1,367,0,0,0,0/0/0,0/0,115.5/184
D2377/D2376,7,南城,12:00,12:02,2分钟,3小时48分,1,570,0,0,0,0/0/0,0/0,175/229
D2377/D2376,8,抚州,12:21,12:23,2分钟,4小时9分,1,618,0,0,0,0/0/0,0/0,189/246
D2377/D2376,9,南昌西,13:01,13:10,9分钟,4小时49分,1,719,0,0,0,0/0/0,0/0,218.5/282
D2377/D2376,10,共青城,13:38,13:40,2分钟,5小时26分,1,798,0,0,0,0/0/0,0/0,242/309.5
D2377/D2376,11,宜昌东,18:12,18:16,4分钟,10小时0分,1,1380,0,0,0,0/0/0,0/0,422/540.5
D2377/D2376,12,丰都,21:46,21:48,2分钟,13小时34分,1,1799,0,0,0,0/0/0,0/0,544.5/687.5
D2377/D2376,13,涪陵北,22:08,22:10,2分钟,13小时56分,1,1841,0,0,0,0/0/0,0/0,557/702.5
D2377/D2376,14,重庆北,22:52,终点站,,14小时40分,1,1952,0,0,0,0/0/0,0/0,584/734.5
