train_code,station_sequence,station_name,arrive_time,depart_time,stay_time,runtime,days,mileage,hard_price,soft_price,business_price,hard_sleep_price,soft_sleep_price,first_second_price
G659,1,北京西,始发站,11:53,,0分,1,0,0,0,0,0/0/0,0/0,0/0
G659,2,高碑店东,12:23,12:25,2分钟,30分,1,83,0,0,0,0/0/0,0/0,37.5/60.5
G659,3,保定东,12:41,12:43,2分钟,48分,1,139,0,0,0,0/0/0,0/0,63.5/101.5
G659,4,定州东,13:01,13:03,2分钟,1小时8分,1,201,0,0,0,0/0/0,0/0,92.5/147.5
G659,5,石家庄,13:26,13:28,2分钟,1小时33分,1,281,0,0,0,0/0/0,0/0,128.5/206.5
G659,6,邢台东,13:56,13:58,2分钟,2小时3分,1,403,0,0,0,0/0/0,0/0,185.5/296.5
G659,7,安阳东,14:26,14:28,2分钟,2小时33分,1,516,0,0,0,0/0/0,0/0,236/378
G659,8,新乡东,14:54,14:56,2分钟,3小时1分,1,626,0,0,0,0/0/0,0/0,281/450
G659,9,郑州东,15:19,15:24,5分钟,3小时26分,1,693,0,0,0,0/0/0,0/0,309/495
G659,10,郑州西,15:40,15:42,2分钟,3小时47分,1,735,0,0,0,0/0/0,0/0,326.5/522.5
G659,11,三门峡南,16:33,16:35,2分钟,4小时40分,1,959,0,0,0,0/0/0,0/0,418.5/670.5
G659,12,华山北,17:02,17:05,3分钟,5小时9分,1,1095,0,0,0,0/0/0,0/0,470.5/753.5
G659,13,西安北,17:35,终点站,,5小时42分,1,1212,0,0,0,0/0/0,0/0,515.5/824.5
