train_code,station_sequence,station_name,arrive_time,depart_time,stay_time,runtime,days,mileage,hard_price,soft_price,business_price,hard_sleep_price,soft_sleep_price,first_second_price
K289/K292,1,成都,始发站,16:50,,0分,1,0,-,-,0,0/0/0,0/0,0/0
K289/K292,2,德阳,17:37,17:47,10分钟,47分,1,61,12.5,-,0,58.5/63.5/66.5,87.5/93.5,0/0
K289/K292,3,绵阳,18:31,18:36,5分钟,1小时41分,1,115,18.5,-,0,64.5/69.5/72.5,97.5/103.5,0/0
K289/K292,4,江油,19:13,19:22,9分钟,2小时23分,1,157,23.5,-,0,69.5/74.5/77.5,105.5/111.5,0/0
K289/K292,5,广元,22:08,22:28,20分钟,5小时18分,1,314,46.5,-,0,92.5/97.5/100.5,140.5/146.5,0/0
K289/K292,6,汉中,01:30,01:35,5分钟,8小时40分,2,515,72,-,0,129/132/136,197/204,0/0
K289/K292,7,安康,05:16,05:33,17分钟,12小时26分,2,755,102,-,0,178/184/190,274/285,0/0
K289/K292,8,旬阳北,06:17,06:19,2分钟,13小时27分,2,696,107,-,0,196/200/206,301/310,0/0
K289/K292,9,西安南,08:32,08:38,6分钟,15小时42分,2,866,128,-,0,230/236/244,355/369,0/0
K289/K292,10,三门峡,13:07,13:10,3分钟,20小时17分,2,1107,141.5,-,0,244.5/252.5/261.5,381.5/398.5,0/0
K289/K292,11,义马,14:10,14:12,2分钟,21小时20分,2,1174,148.5,-,0,254.5/263.5/272.5,398.5/415.5,0/0
K289/K292,12,洛阳,15:01,15:04,3分钟,22小时11分,2,1229,152.5,-,0,261.5/270.5/279.5,409.5/427.5,0/0
K289/K292,13,偃师,15:35,15:37,2分钟,22小时45分,2,1263,156.5,-,0,270.5/279.5/288.5,422.5/440.5,0/0
K289/K292,14,巩义,15:57,16:16,19分钟,23小时7分,2,1263,156.5,-,0,270.5/279.5/288.5,422.5/440.5,0/0
K289/K292,15,郑州,17:28,17:50,22分钟,24小时38分,2,1353,168.5,-,0,288.5/298.5/307.5,450.5/470.5,0/0
K289/K292,16,兰考,19:01,19:04,3分钟,26小时11分,2,1468,177.5,-,0,304.5/315.5/325.5,476.5/497.5,0/0
K289/K292,17,商丘,20:03,20:06,3分钟,27小时13分,2,1556,189.5,-,0,322.5/333.5/343.5,504.5/527.5,0/0
K289/K292,18,徐州,21:46,21:57,11分钟,28小时56分,2,1702,198,-,0,337/349/361,530/552,0/0
K289/K292,19,蚌埠,23:40,23:45,5分钟,30小时50分,2,1866,213,-,0,363/375/388,572/598,0/0
K289/K292,20,南京,01:43,01:51,8分钟,32小时53分,3,2050,229,-,0,389/403/416,613/640,0/0
K289/K292,21,常州,03:12,03:17,5分钟,34小时22分,3,2186,240,-,0,408/421/436,640/669,0/0
K289/K292,22,无锡,03:44,03:48,4分钟,34小时54分,3,2225,243,-,0,414/429/444,654/684,0/0
K289/K292,23,苏州,04:25,04:30,5分钟,35小时35分,3,2267,243,-,0,414/429/444,654/684,0/0
K289/K292,24,上海,05:35,终点站,,36小时45分,3,2351,254.5,-,0,434.5/449.5/464.5,687.5/717.5,0/0
