train_code,station_sequence,station_name,arrive_time,depart_time,stay_time,runtime,days,mileage,hard_price,soft_price,business_price,hard_sleep_price,soft_sleep_price,first_second_price
T40,1,齐齐哈尔,始发站,18:36,,0分,1,0,-,-,0,0/0/0,0/0,0/0
T40,2,泰来,20:07,20:13,6分钟,1小时31分,1,116,21.5,-,0,67.5/72.5/75.5,102.5/108.5,0/0
T40,3,镇赉,20:56,20:59,3分钟,2小时20分,1,180,37.5,-,0,83.5/88.5/91.5,125.5/131.5,0/0
T40,4,白城,21:28,21:40,12分钟,2小时52分,1,218,43.5,-,0,89.5/94.5/97.5,135.5/141.5,0/0
T40,5,通榆,22:48,22:51,3分钟,4小时12分,1,318,46.5,-,0,92.5/97.5/100.5,140.5/146.5,0/0
T40,6,太平川,23:24,23:27,3分钟,4小时48分,1,367,53.5,-,0,99.5/104.5/107.5,152.5/158.5,0/0
T40,7,通辽,00:50,01:11,21分钟,6小时14分,2,488,69,-,0,123/126/130,186/194,0/0
T40,8,锦州,05:22,05:28,6分钟,10小时46分,2,850,119,-,0,207/215/221,324/337,0/0
T40,9,葫芦岛,06:00,06:02,2分钟,11小时24分,2,900,124,-,0,215/223/230,336/351,0/0
T40,10,山海关,07:30,07:39,9分钟,12小时54分,2,1222,138.5,-,0,238.5/246.5/255.5,372.5/388.5,0/0
T40,11,唐山,09:32,09:35,3分钟,14小时56分,2,1207,156.5,-,0,270.5/279.5/288.5,422.5/440.5,0/0
T40,12,天津,10:49,10:57,8分钟,16小时13分,2,1330,168.5,-,0,288.5/298.5/307.5,450.5/470.5,0/0
T40,13,北京,12:30,终点站,,17小时54分,2,1537,177.5,-,0,304.5/315.5/325.5,476.5/497.5,0/0
