train_code,station_sequence,station_name,arrive_time,depart_time,stay_time,runtime,days,mileage,hard_price,soft_price,business_price,hard_sleep_price,soft_sleep_price,first_second_price
Y511/Y514,1,承德,始发站,13:13,,0分,1,0,-,-,0,0/0/0,0/0,0/0
Y511/Y514,2,鹰手营子,14:43,14:48,5分钟,1小时30分,1,101,12.5,-,0,58.5/63.5/66.5,89.5/95.5,0/0
Y511/Y514,3,密云北,16:37,16:39,2分钟,3小时24分,1,166,24.5,-,0,70.5/75.5/78.5,108.5/114.5,0/0
Y511/Y514,4,怀柔,16:58,17:00,2分钟,3小时45分,1,188,28.5,-,0,74.5/79.5/82.5,113.5/119.5,0/0
Y511/Y514,5,通州西,17:44,17:46,2分钟,4小时31分,1,238,37.5,-,0,83.5/88.5/91.5,125.5/131.5,0/0
Y511/Y514,6,北京东,18:02,18:39,37分钟,4小时49分,1,251,40.5,-,0,86.5/91.5/94.5,129.5/135.5,0/0
Y511/Y514,7,保定,20:26,20:38,12分钟,7小时13分,1,408,62.5,-,0,110.5/114.5/117.5,166.5/174.5,0/0
Y511/Y514,8,石家庄,22:04,22:10,6分钟,8小时51分,1,543,75,-,0,133/138/142,205/214,0/0
Y511/Y514,9,邢台,23:13,23:15,2分钟,10小时0分,1,652,91,-,0,158/164/169,243/253,0/0
Y511/Y514,10,沙河市,23:32,23:34,2分钟,10小时19分,1,676,93,-,0,163/168/174,251/263,0/0
Y511/Y514,11,邯郸,23:59,终点站,,10小时46分,1,704,98,-,0,171/176/182,263/275,0/0
