train_code,station_sequence,station_name,arrive_time,depart_time,stay_time,runtime,days,mileage,hard_price,soft_price,business_price,hard_sleep_price,soft_sleep_price,first_second_price
Z201,1,北京西,始发站,17:54,,0分,1,0,-,-,0,0/0/0,0/0,0/0
Z201,2,石家庄,20:18,20:24,6分钟,2小时24分,1,281,43.5,-,0,89.5/94.5/97.5,135.5/141.5,0/0
Z201,3,郑州,23:47,23:53,6分钟,5小时53分,1,689,93,-,0,163/168/174,251/263,0/0
Z201,4,岳阳,06:35,06:38,3分钟,12小时41分,2,1440,173.5,-,0,296.5/306.5/317.5,464.5/484.5,0/0
Z201,5,长沙,07:58,08:06,8分钟,14小时4分,2,1587,189.5,-,0,322.5/333.5/343.5,504.5/527.5,0/0
Z201,6,郴州,11:32,11:36,4分钟,17小时38分,2,1920,217,-,0,370/383/397,585/611,0/0
Z201,7,韶关东,13:12,13:16,4分钟,19小时18分,2,2073,229,-,0,389/403/416,658/688,0/0
Z201,8,广州,15:34,15:57,23分钟,21小时40分,2,2294,251,-,0,426/441/456,750/784,0/0
Z201,9,佛山,16:21,16:29,8分钟,22小时27分,2,2316,251,-,0,426/441/456,750/784,0/0
Z201,10,肇庆,17:45,17:50,5分钟,23小时51分,2,2403,254.5,-,0,434.5/449.5/464.5,780.5/814.5,0/0
Z201,11,茂名,20:52,21:00,8分钟,26小时58分,2,2638,278.5,-,0,471.5/488.5/506.5,839.5/876.5,0/0
Z201,12,湛江西,22:03,22:13,10分钟,28小时9分,2,2748,308.5,-,0,543.5/565.5/585.5,945.5/988.5,0/0
Z201,13,徐闻,00:14,00:22,8分钟,30小时20分,3,2861,325.5,-,0,573.5/597.5/618.5,1000.5/1044.5,0/0
Z201,14,海口,03:50,04:50,60分钟,33小时56分,3,3054,364.5,-,0,639.5/667.5/690.5,1105.5/1154.5,0/0
Z201,15,东方,06:27,06:32,5分钟,36小时33分,3,3427,409,-,0,702/730/755,1204/1257,0/0
Z201,16,三亚,08:12,终点站,,38小时18分,3,3417,435,-,0,746/774/802,1272/1330,0/0
