station_id,station_name,station_pinyin_headchar,station_pinyin
1,明水河,msh,mingshuihe
2,鲁山,ls,lushan
3,宝泉岭,bql,baoquanling
4,迎春,yc,yingchun
5,昆山南,ksn,kunshannan
6,云山,ys,yunshan
7,宁武,nw,ningwu
8,原平西,ypx,yuanpingxi
9,常村,cc,changcun
10,焉耆,yq,yanqi
11,临城,lc,lincheng
12,保家楼,bjl,baojialou
13,华容东,hrd,huarongdong
14,麓谷,lg,lugu
15,牛车河,nch,niuchehe
16,长兴南,zxn,zhangxingnan
17,贵阳东,gyd,guiyangdong
18,柞水,zs,zuoshui
19,阳信,yx,yangxin
20,云东海,ydh,yundonghai
21,桐乡,tx,tongxiang
22,铁岭,tl,tieling
23,卫星,wx,weixing
24,四方台,sft,sifangtai
25,衡山,hs,hengshan
26,秦家庄,qjz,qinjiazhuang
27,白水江,bsj,baishuijiang
28,黄陵,hl,huangling
29,宁安,na,ningan
30,沈家,sj,shenjia
31,板城,bc,bancheng
32,龙岩,ly,longyan
33,吴川,wc,wuchuan
34,夏坝,xb,xiaba
35,郫县,px,pixian
36,渭南北,wnb,weinanbei
37,商河,sh,shanghe
38,阿龙山,als,alongshan
39,疏勒河,slh,shulehe
40,松树林,ssl,songshulin
41,龙沟,lg,longgou
42,连云港,lyg,lianyungang
43,前苇塘,qwt,qianweitang
44,湖口,hk,hukou
45,丰顺,fs,fengshun
46,额敏,em,emin
47,绿潭,lt,lu:tan
48,鲁河,lh,luhe
49,煤田,mt,meitian
50,徐州,xz,xuzhou
51,陆川,lc,luchuan
52,周口东,zkd,zhoukoudong
53,桐庐,tl,tonglu
54,神州,sz,shenzhou
55,红兴隆,hxl,hongxinglong
56,睢宁,sn,suining
57,兰州东,lzd,lanzhoudong
58,隆昌,lc,longchang
59,笔架山,bjs,bijiashan
60,黑冲滩,hct,heichongtan
61,招柏,zb,zhaobo
62,堡子湾,bzw,baoziwan
63,盐津,yj,yanjin
64,常州北,czb,changzhoubei
65,平遥,py,pingyao
66,松树,ss,songshu
67,古城,gc,gucheng
68,麻城,mc,macheng
69,蒙自,mz,mengzi
70,渑池,mc,mianchi
71,镇江南,zjn,zhenjiangnan
72,茂名西,mmx,maomingxi
73,南河川,nhc,nanhechuan
74,承德县北,cdxb,chengdexianbei
75,田东北,tdb,tiandongbei
76,包头东,btd,baotoudong
77,高台南,gtn,gaotainan
78,平邑,py,pingyi
79,江都,jd,jiangdou
80,对青山,dqs,duiqingshan
81,榆社,ys,yushe
82,营盘湾,ypw,yingpanwan
83,大营镇,dyz,dayingzhen
84,衡阳东,hyd,hengyangdong
85,图们北,tmb,tumenbei
86,查干特格,cgtg,chagantege
87,乌鲁布铁,wlbt,wulubutie
88,珲春,hc,hunchun
89,龙山北,lsb,longshanbei
90,齐齐哈尔,qqhe,qiqihaer
91,宣城,xc,xuancheng
92,海伦,hl,hailun
93,鹤壁东,hbd,hebidong
94,阜新南,fxn,fuxinnan
95,美岱召,mdz,meidaizhao
96,麻柳,ml,maliu
97,通海,th,tonghai
98,抚远,fy,fuyuan
99,上普雄,spx,shangpuxiong
100,嘉善,js,jiashan
101,下花园,xhy,xiahuayuan
102,泾川,jc,jingchuan
103,长春,zc,zhangchun
104,向阳川,xyc,xiangyangchuan
105,侯马,hm,houma
106,芷江,zj,zhijiang
107,西岭口,xlk,xilingkou
108,三汇镇,shz,sanhuizhen
109,商洛,sl,shangluo
110,桐梓北,tzb,tongzibei
111,余姚北,yyb,yuyaobei
112,芦庙,lm,lumiao
113,上海,sh,shanghai
114,尔赛河,esh,ersaihe
115,阜南,fn,funan
116,冯屯,ft,fengtun
117,高邑,gy,gaoyi
118,界山,js,jieshan
119,阳邑,yy,yangyi
120,柳园南,lyn,liuyuannan
121,阿贵图,agt,aguitu
122,塔尔根,teg,taergen
123,来宾北,lbb,laibinbei
124,道劳杜,dld,daolaodu
125,兴莲,xl,xinglian
126,板塘,bt,bantang
127,琼海,qh,qionghai
128,塔源,ty,tayuan
129,汉口,hk,hankou
130,南头,nt,nantou
131,陆丰,lf,lufeng
132,大陆号,dlh,daluhao
133,枣子林,zzl,zaozilin
134,万州,wz,wanzhou
135,讷尔克气,nekq,neerkeqi
136,端州,dz,duanzhou
137,香坊,xf,xiangfang
138,昆明,km,kunming
139,月亮田,ylt,yueliangtian
140,葛店南,gdn,gediannan
141,聊城,lc,liaocheng
142,美溪,mx,meixi
143,临颍,ly,linying
144,朱石寨,zsz,zhushizhai
145,黄山北,hsb,huangshanbei
146,核桃园,hty,hetaoyuan
147,东港北,dgb,donggangbei
148,宝鸡南,bjn,baojinan
149,青川,qc,qingchuan
150,新肇,xz,xinzhao
151,永嘉,yj,yongjia
152,绥化,sh,suihua
153,利川,lc,lichuan
154,公积坂,gjb,gongjiban
155,定襄,dx,dingxiang
156,成都,cd,chengdou
157,昆阳,ky,kunyang
158,太和东,thd,taihedong
159,福利屯,flt,fulitun
160,巨野,jy,juye
161,石柱县,szx,shizhuxian
162,镇赉,zl,zhenlai
163,低窝铺,dwp,diwopu
164,庙山,ms,miaoshan
165,来宾,lb,laibin
166,长汀镇,ztz,zhangtingzhen
167,南杂木,nzm,nanzamu
168,武当山,wds,wudangshan
169,白城,bc,baicheng
170,晋州,jz,jinzhou
171,乌兰浩特,wlht,wulanhaote
172,始兴,sx,shixing
173,洋河,yh,yanghe
174,洛阳东,lyd,luoyangdong
175,黑山北,hsb,heishanbei
176,隆回,lh,longhui
177,大口屯,dkt,dakoutun
178,海石湾,hsw,haishiwan
179,石家庄,sjz,shijiazhuang
180,新邱,xq,xinqiu
181,王团庄,wtz,wangtuanzhuang
182,广德,gd,guangde
183,通州,tz,tongzhou
184,长坡岭,zpl,zhangpoling
185,双水镇,ssz,shuangshuizhen
186,凌源东,lyd,lingyuandong
187,平顶山,pds,pingdingshan
188,黄村,hc,huangcun
189,鹤北,hb,hebei
190,万乐,wl,wanle
191,五台山,wts,wutaishan
192,安富镇,afz,anfuzhen
193,七台河,qth,qitaihe
194,德令哈,dlh,delingha
195,绅坊,sf,shenfang
196,横沟桥东,hgqd,henggouqiaodong
197,静海,jh,jinghai
198,纸坊东,zfd,zhifangdong
199,定西,dx,dingxi
200,马踏,mt,mata
201,上万,sw,shangwan
202,天镇,tz,tianzhen
203,铜罐驿,tgy,tongguanyi
204,安口窑,aky,ankouyao
205,代县,dx,daixian
206,九台,jt,jiutai
207,娄底南,ldn,loudinan
208,息县,xx,xixian
209,瓦祖,wz,wazu
210,秀英,xy,xiuying
211,鞍山西,asx,anshanxi
212,毕节,bj,bijie
213,邵武,sw,shaowu
214,通渭,tw,tongwei
215,哈尔盖,heg,haergai
216,万年,wn,wannian
217,许昌,xc,xuchang
218,安家,aj,anjia
219,离堆公园,ldgy,liduigongyuan
220,郓城,yc,yuncheng
221,照福铺,zfp,zhaofupu
222,当阳,dy,dangyang
223,永登,yd,yongdeng
224,晋中,jz,jinzhong
225,亚河,yh,yahe
226,柳家庄,ljz,liujiazhuang
227,微子镇,wzz,weizizhen
228,咸阳秦都,xyqd,xianyangqindou
229,查干湖,cgh,chaganhu
230,黑旺,hw,heiwang
231,靖州,jz,jingzhou
232,茂名,mm,maoming
233,吴家川,wjc,wujiachuan
234,万源,wy,wanyuan
235,渑池南,mcn,mianchinan
236,九营,jy,jiuying
237,延吉西,yjx,yanjixi
238,郭家店,gjd,guojiadian
239,抚州东,fzd,fuzhoudong
240,云南驿,yny,yunnanyi
241,文昌,wc,wenchang
242,孝感,xg,xiaogan
243,平关,pg,pingguan
244,五道河,wdh,wudaohe
245,三十家,ssj,sanshijia
246,新平坝,xpb,xinpingba
247,张家川,zjc,zhangjiachuan
248,龙川,lc,longchuan
249,五道沟,wdg,wudaogou
250,大方,df,dafang
251,潼关,tg,tongguan
252,盖州西,gzx,gaizhouxi
